ticker,overall_cagr,overall_vol,max_drawdown,us_down_months,us_down_mean_monthly_ret,us_down_outperf_rate,qual_score_0_1,score
07K.F,-0.6830194849282964,10.368015460902624,-1.0119775451107529,17,1.9195303435146363,0.4117647058823529,,0.5659048821150476
ABQK.QA,0.11263886534310874,0.21526475920632257,-0.35720250247370977,17,0.0076788482503408525,0.6470588235294118,,0.11029157448921365
AGUAS-A.SN,0.10245851424329122,0.22849706630573516,-0.6106132132459341,32,0.014828120999299362,0.6875,,0.07105238288702662
0A6X.L,-0.02315143463032776,0.2814665416949205,-0.3623430988199129,6,-0.005838008224905267,0.5,,0.04672346175150614
AHCS.QA,-0.007796474810767395,0.2916989966493825,-0.588349978034883,17,-0.020196165543112803,0.5294117647058824,,0.005435008130633759
1020.SR,0.08765180047482413,0.3149243945024832,-0.7325269539653528,17,-0.02516107801378118,0.5882352941176471,,0.0036367716020523355
1010.SR,0.1248221528847051,0.28558215941273873,-0.5241880301996037,13,-0.03311349319099522,0.38461538461538464,,-0.0032058342297669185
0TD7.L,-0.004630484274467883,0.27159886022954166,-0.4280741890441626,10,-0.046468142151137495,0.4,,-0.004896667310457695
0U8N.L,-0.13681895424464885,0.3217515761455666,-0.5560225957245644,10,-0.0222102313641931,0.5,,-0.015611454827287444
06L.SG,0.23774272514351558,0.6606951708858904,-0.9761904747385844,6,0.04460803700931313,0.5,,-0.01673347137246431
9IFA.F,-0.008343951974597252,0.31007880825119494,-0.5382992587284097,12,-0.04457219601842783,0.4166666666666667,,-0.022573656282575974
0HL8.L,-0.1560906716405296,0.4262649888751732,-0.719378400867027,10,-0.01483673893641133,0.5,,-0.048223976494049386
0I3G.L,-0.03435921848648826,0.6124910599316843,-0.8406855245148752,10,-0.054897570828324437,0.3,,-0.12025001600727808
