ticker,name,country,sector,industry,exchange,currency,market_cap,is_local_listing_proxy,thesis_score
2170.SR,Alujain Holding Corporation,Saudi Arabia,Energy,"Oil, Gas & Consumable Fuels",SAU,SAR,,True,1.05
2222.SR,Saudi Arabian Oil Company,Saudi Arabia,Energy,"Oil, Gas & Consumable Fuels",SAU,SAR,,True,1.05
2380.SR,Rabigh Refining and Petrochemical Company,Saudi Arabia,Energy,"Oil, Gas & Consumable Fuels",SAU,SAR,,True,1.05
1202.SR,Middle East Company for Manufacturing and Producing Paper,Saudi Arabia,Materials,Paper & Forest Products,SAU,SAR,,True,1.015
1211.SR,Saudi Arabian Mining Company (Ma'aden),Saudi Arabia,Materials,Metals & Mining,SAU,SAR,,True,1.015
GISS.QA,Gulf International Services Q.P.S.C.,Qatar,Energy,"Oil, Gas & Consumable Fuels",DOH,QAR,,True,0.995
QFLS.QA,Qatar Fuel Company Q.P.S.C.(WOQOD),Qatar,Energy,"Oil, Gas & Consumable Fuels",DOH,QAR,,True,0.995
IQCD.QA,Industries Qatar Q.P.S.C.,Qatar,Materials,Chemicals,DOH,QAR,,True,0.9600000000000001
MPHC.QA,Mesaieed Petrochemical Holding Company Q.P.S.C.,Qatar,Materials,Chemicals,DOH,QAR,,True,0.9600000000000001
QAMC.QA,Qatar Aluminium Manufacturing Company Q.P.S.C.,Qatar,Materials,Metals & Mining,DOH,QAR,,True,0.9600000000000001
AKRA.JK,PT AKR Corporindo Tbk,Indonesia,Energy,"Oil, Gas & Consumable Fuels",JKT,IDR,,True,0.9125
APEX.JK,PT Apexindo Pratama Duta Tbk,Indonesia,Energy,"Oil, Gas & Consumable Fuels",JKT,IDR,,True,0.9125
ARTI.JK,PT. Ratu Prabu Energi Tbk,Indonesia,Energy,Energy Equipment & Services,JKT,IDR,,True,0.9125
CTBN.JK,PT Citra Tubindo Tbk,Indonesia,Energy,Energy Equipment & Services,JKT,IDR,,True,0.9125
ELSA.JK,PT Elnusa Tbk,Indonesia,Energy,Energy Equipment & Services,JKT,IDR,,True,0.9125
COXA.MX,"Cox Energy America, S.A.B de C.V.",Mexico,Energy,,MEX,MXN,,True,0.9125
AAKASH.NS,Aakash Exploration Services Limited,India,Energy,Energy Equipment & Services,NSE,INR,,True,0.885
ABAN.BO,Aban Offshore Limited,India,Energy,,BSE,INR,,True,0.885
ABCGAS.BO,ABC Gas (International) Limited,India,Energy,,BSE,INR,,True,0.885
AEGISCHEM.NS,Aegis Logistics Limited,India,Energy,"Oil, Gas & Consumable Fuels",NSE,INR,,True,0.885
ALPHAGEO.BO,Alphageo (India) Limited,India,Energy,,BSE,INR,,True,0.885
BRKM3.SA,Braskem S.A.,Brazil,Materials,Chemicals,SAO,BRL,,True,0.8775000000000001
BTTL3.SA,Embpar Participacoes S.A.,Brazil,Materials,Paper & Forest Products,SAO,BRL,,True,0.8775000000000001
ALPEKA.MX,"ALPEK, S.A.B. de C.V.",Mexico,Materials,Chemicals,MEX,MXN,,True,0.8775000000000001
AUTLANB.MX,"Compania Minera Autlan, S.A.B. de C.V.",Mexico,Materials,Metals & Mining,MEX,MXN,,True,0.8775000000000001
