ticker,name,currency,sector,industry_group,industry,exchange,market,country,market_cap,isin,cusip,figi,composite_figi,shareclass_figi,website,summary
0A6X.L,Ambev S.A.,USD,Consumer Staples,"Food, Beverage & Tobacco",Beverages,LSE,London Stock Exchange (international),Brazil,,US02319V1035,02319V103,,,,http://www.ambev.com.br,"Ambev S.A., through its subsidiaries, produces, distributes, and sells beer, draft beer, carbonated soft drinks (CSD), other non-alcoholic beverages, malt, and food products in the Americas. It operates through three segments: Brazil; Central America and the Caribbean; Latin America South; and Canada. The company offers beer primarily under the Skol, Brahma, Antarctica, Brahva, Brahva Gold, Extra, Budweiser, Bud Light, Stella Artois, Corona, Modelo Especial, Beck, Leffe, Hoegaarden, Bucanero, Cristal, Mayabe, Cacique, Presidente, Brahma Light, President Light, Bohemia, The One, Banks, Deputy, Quilmes ClÃ¡sica, PaceÃ±a, TaquiÃ±a, Huari, Becker, CusqueÃ±a, Pilsen, Ouro Fino, Patricia, Michelob Ultra, Busch, Labatt Blue, Alexander Keith's, and Kokanee brands. It also provides bottled water, isotonic beverages, energy drinks, coconut water, powdered and natural juices, and ready-to-drink teas under the GuaranÃ¡ Antarctica, Natu, Gatorade, H2OH!, Lipton Iced Tea, Fusion, Do Bem, Pepsi, Canada Dry, Squirt, Red Rock, Pepsi-Cola, Seven Up, Nutrl, and Palm Bay and Mike's brands, as well as For Me wellness shots, a functional beverage. Ambev S.A. offers its products through a network of third-party distributors and a direct distribution system. The company was founded in 1885 and is headquartered in SÃ£o Paulo, Brazil. Ambev S.A. is a subsidiary of Interbrew International B.V."
0HL8.L,Banco Bradesco S.A.,USD,Financials,Banks,Banks,LSE,London Stock Exchange (international),Brazil,,,,,,,http://banco.bradesco,"Banco Bradesco S.A., together with its subsidiaries, provides various banking products and services to individuals, corporates, and businesses in Brazil and internationally. The company operates through The Banking, and The Insurance. The company offers leasing, investment banking, brokerage, and consortium management services, overdrafts, as well as credit cards, real estate products, pension plans, and capitalization bonds. It also provides health, life, and personal accident insurance products. Banco Bradesco S.A. was founded in 1943 and is headquartered in Osasco, Brazil."
AESGENER.SN,AES Andes S.A.,CLP,Utilities,Utilities,Independent Power and Renewable Electricity Producers,SGO,Bolsa de Comercio de Santiago de Chile,Chile,,,,,,,http://www.aesgener.cl,"AES Gener S.A., together with its subsidiaries, engages in the generation, transmission, and distribution of electric energy and power. It operates hydroelectric, coal-fired, natural gas, diesel-fired, solar, and wind plants, as well as thermoelectric and biomass-fired plants, and battery energy storage systems. The company is also involved in water desalination activities. As of December 29, 2020, it operated a portfolio of power generation assets with a total installed capacity of 5,309 megawatts in Chile, Colombia, and Argentina. The company was formerly known as Gener S.A. and changed its name to AES Gener S.A. in 2001. The company was founded in 1981 and is based in Santiago, Chile. AES Gener S.A. is a subsidiary of Inversiones Cachagua Limitada."
AGUAS-A.SN,Aguas Andinas S.A.,CLP,Utilities,Utilities,Water Utilities,SGO,Bolsa de Comercio de Santiago de Chile,Chile,,,,,,,http://www.aguasandinasinversionistas.cl,"Aguas Andinas S.A., together with its subsidiaries, operates as a water utility company in Chile. It engages in the catchment of raw water; production, transportation, and distribution of water; and the collection, treatment, and final disposal of sewage. The company also provides integral advisory and management services in sewage and liquid waste; sells equipment and nonconventional renewable energies; develops energy projects relating to sanitation companies; and offers laboratory sampling and environmental analysis services. It delivers potable water, sewerage, and wastewater treatment services to approximately two million residential, commercial, and industrial clients. The company was formerly known as Empresa Metropolitana de Obras Sanitarias and changed its name to Aguas Andinas S.A. in 2001. The company was founded in 1861 and is based in Santiago, Chile. Aguas Andinas S.A. is a subsidiary of Inversiones Aguas Metropolitanas S.A."
0A7W.L,Vedanta Limited,USD,Materials,Materials,Metals & Mining,LSE,London Stock Exchange (international),India,,,,,,,http://www.vedantalimited.com,"Vedanta Limited operates as a diversified natural resources company in India. The company explores for, develops, extracts, produces, processes, and sells oil and gas, zinc, lead, silver, copper, aluminum, iron ore, steel, and power. It is involved in the exploration, development, and production of oil and gas; and exploration, mining, and processing of iron ore, pig iron, and metallurgical coke. The company also operates a thermal coal-based commercial power facility of 600 megawatts (MW) at Jharsuguda in the State of Odisha in eastern India; two 300 MW thermal coal based power plants at Korba; 1,980 MW (three units of 660 MW each) thermal coal-based commercial power facilities; 274MW of wind power plants; and a power plant situated at Mettur Dam in the state of Tamil Nadu in southern India. In addition, it manufactures and supplies billets, TMT bars, wire rods, and ductile iron pipes; engages in the mechanization of coal handling facilities and upgradation of general cargo berth for handling coal at the outer harbor of Visakhapatnam Port on the east coast of India; and provides logistics and other allied services inter alia rendering stevedoring, and other allied services in ports and other allied sectors. Further, the company is involved in manufacturing glass substrates in South Korea and Taiwan. It also has operations in South Africa, Namibia, Ireland, Australia, Liberia, and the United Arab Emirates. The company was incorporated in 1965 and is based in Mumbai, India."
17SA.F,Vedanta Limited,EUR,Materials,Materials,Metals & Mining,FRA,Frankfurt Stock Exchange,India,,,,,,,http://www.vedantalimited.com,"Vedanta Limited operates as a diversified natural resources company in India. The company explores for, develops, extracts, produces, processes, and sells oil and gas, zinc, lead, silver, copper, aluminum, iron ore, steel, and power. It is involved in the exploration, development, and production of oil and gas; and exploration, mining, and processing of iron ore, pig iron, and metallurgical coke. The company also operates a thermal coal-based commercial power facility of 600 megawatts (MW) at Jharsuguda in the State of Odisha in eastern India; two 300 MW thermal coal based power plants at Korba; 1,980 MW (three units of 660 MW each) thermal coal-based commercial power facilities; 274MW of wind power plants; and a power plant situated at Mettur Dam in the state of Tamil Nadu in southern India. In addition, it manufactures and supplies billets, TMT bars, wire rods, and ductile iron pipes; engages in the mechanization of coal handling facilities and upgradation of general cargo berth for handling coal at the outer harbor of Visakhapatnam Port on the east coast of India; and provides logistics and other allied services inter alia rendering stevedoring, and other allied services in ports and other allied sectors. Further, the company is involved in manufacturing glass substrates in South Korea and Taiwan. It also has operations in South Africa, Namibia, Ireland, Australia, Liberia, and the United Arab Emirates. The company was incorporated in 1965 and is based in Mumbai, India."
06L.SG,PT. Global Mediacom Tbk,EUR,Communication Services,Media & Entertainment,Entertainment,STU,Stuttgart Stock Exchange,Indonesia,,ID1000105604,,BBG003HBRB88,BBG003HBRB42,BBG001S6GR51,http://mediacom.co.id,"PT. Global Mediacom Tbk operates as an integrated media company in Indonesia and internationally. The company operates through Advertising and Content, and Pay TV and Broadband segments. It operates 4 free-to-air TV stations, including RCTI, MNCTV, GTV, and iNews; and provides content production and content library services. The company also operates Okezone.com, an online news and entertainment portal that publishes approximately 700-800 new items and provides online TV streaming service through Okezone.tv; metube.id, an entertainment video portal; misteraladin.com, an online travel service for ticket sales, accommodation, and travel packages; thefthing.com, an online shopping portal; and mncshop.co.id, an online shopping center. In addition, it offers talent management and advertising services; fixed broadband/IPTV and DTH services; animation games and parenting services; and TV production services. The company was formerly known as PT Bimantara Citra Tbk. and changed its name to PT. Global Mediacom Tbk in March 2007. The company was founded in 1981 and is based in Jakarta, Indonesia. PT. Global Mediacom Tbk is a subsidiary of PT MNC Investama Tbk."
07K.F,PT Krakatau Steel (Persero) Tbk,EUR,Materials,Materials,Metals & Mining,FRA,Frankfurt Stock Exchange,Indonesia,,ID1000117005,,BBG0018T33T4,BBG0018T33S5,BBG001S8MQ07,http://www.krakatausteel.com,"PT Krakatau Steel (Persero) Tbk, together with its subsidiaries, engages in the production and trading of iron and steel products in Indonesia and internationally. It operates through five segments: Steel Products, Real Estate and Hotels, Engineering and Construction, Port Services Provider, and Other Services. The Steel Products segment is primarily involved in production and sale of steel products, such as sponge iron, slabs, billets, hot rolled coils, cold rolled coils, and wire rods; and steel pipes, reinforcing bars, and steel wires, as well as services related to steel, including coating and tolling services. The Real Estate and Hotels segment develops and sells industrial estates with the infrastructure, and hotels and sport facilities. The Engineering and Construction segment is involved in the construction, industrial engineering, planning, and contracting of various types of buildings; export and import of goods; and provision of services and software related to the aforementioned activities. The Port Services Provider segment offers pier services for berthing, loading, and unloading goods and containers; and sea port support, warehousing, and transportation services. The Other Services segment provides information technology, medical, electricity, and water distribution services for industrial and residence needs. It also engages in the production of reinforcing bars, and deformed and plain bars; and coal and mining business. PT Krakatau Steel (Persero) Tbk was founded in 1970 and is headquartered in Cilegon, Indonesia."
0I3G.L,"Controladora Vuela Compania de Aviacion, S.A.B. de C.V.",USD,Industrials,Transportation,Airlines,LSE,London Stock Exchange (international),Mexico,,,,,,,http://www.volaris.com,"Controladora Vuela CompaÃ±Ã­a de AviaciÃ³n, S.A.B. de C.V., through its subsidiaries, Concesionaria Vuela CompaÃ±Ã­a de AviaciÃ³n, S.A.P.I. de C.V., provides air transportation services for passengers, cargo, and mail in Mexico and internationally. The company operates approximately 410 daily flights on routes connecting 43 cities in Mexico, 22 cities in the United States, and 3 cities in Central America. As of December 31, 2020, it operated through a fleet of 86 aircraft. The company also offers merchandising, recruitment and payroll, travel agency, and loyalty program services. Controladora Vuela CompaÃ±Ã­a de AviaciÃ³n, S.A.B. de C.V. was incorporated in 2005 and is headquartered in Mexico City, Mexico."
0TD7.L,"Fomento Economico Mexicano, S.A.B. de C.V.",USD,Consumer Staples,"Food, Beverage & Tobacco",Beverages,LSE,London Stock Exchange (international),Mexico,,,,,,,http://www.femsa.com,"Fomento EconÃ³mico Mexicano, S.A.B. de C.V., through its subsidiaries, operates as a bottler of Coca-Cola trademark beverages. The company produces, markets, and distributes Coca-Cola trademark beverages, including low-sugar or sugar-free carbonated beverages; refreshing juices, nectars, and fruit-based drinks; purified, and carbonated and flavored water; coffees, teas, and sports and energy drinks; and dairy products and products based on vegetable protein. It also operates small-box retail chain stores in Mexico, Colombia, Peru, the United States, Chile, and Brazil under the OXXO name; retail service stations for fuels, motor oils, lubricants, and car care products under the OXXO GAS name in Mexico; and drugstores in Chile, Colombia, Ecuador, and Mexico under the Cruz Verde, Fybeca, SanaSana, YZA, La Moderna, and Farmacon names. In addition, the company is involved in the production and distribution of coolers, commercial refrigeration equipment, and plastic cases; food processing, preservation, and weighing equipment; and provision of logistic transportation and maintenance, point-of-sale refrigeration, and plastics solutions, as well as distribution platform for cleaning products and consumables. As of December 31, 2020, it operated 19,566 OXXO small-format stores; 3,368 drugstores; and 558 OXXO GAS service stations. Fomento EconÃ³mico Mexicano, S.A.B. de C.V. was founded in 1890 and is headquartered in Monterrey, Mexico."
